symptom_text,severity,disease,total_weight
itching skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,8
skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,7
itching nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,5
itching skin_rash dischromic _patches,LOW,Fungal infection,4
itching skin_rash nodal_skin_eruptions,LOW,Fungal infection,8
skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,7
itching nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,5
itching skin_rash dischromic _patches,LOW,Fungal infection,4
itching skin_rash nodal_skin_eruptions,LOW,Fungal infection,8
itching skin_rash nodal_skin_eruptions dischromic _patches,LOW,Fungal infection,8
continuous_sneezing shivering chills watering_from_eyes,MEDIUM,Allergy,16
shivering chills watering_from_eyes,LOW,Allergy,12
continuous_sneezing chills watering_from_eyes,LOW,Allergy,11
continuous_sneezing shivering watering_from_eyes,MEDIUM,Allergy,13
continuous_sneezing shivering chills,LOW,Allergy,12
shivering chills watering_from_eyes,LOW,Allergy,12
continuous_sneezing chills watering_from_eyes,LOW,Allergy,11
continuous_sneezing shivering watering_from_eyes,MEDIUM,Allergy,13
continuous_sneezing shivering chills,LOW,Allergy,12
continuous_sneezing shivering chills watering_from_eyes,MEDIUM,Allergy,16
stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,28
stomach_pain ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,25
stomach_pain acidity vomiting cough chest_pain,MEDIUM,GERD,24
stomach_pain acidity ulcers_on_tongue cough chest_pain,MEDIUM,GERD,23
stomach_pain acidity ulcers_on_tongue vomiting chest_pain,MEDIUM,GERD,24
stomach_pain acidity ulcers_on_tongue vomiting cough,MEDIUM,GERD,21
acidity ulcers_on_tongue vomiting cough chest_pain,MEDIUM,GERD,23
stomach_pain ulcers_on_tongue vomiting cough chest_pain,HIGH,GERD,25
stomach_pain acidity vomiting cough chest_pain,MEDIUM,GERD,24
stomach_pain acidity ulcers_on_tongue cough chest_pain,MEDIUM,GERD,23
